external_name,id_clube
Atlético Mineiro,282
Atletico MG,282
America MG,327
América-MG,327
Atletico GO,373
Atlético-GO,373
Atletico PR,293
Athlético-PR,293
Bahia,265
Botafogo,263
Botafogo (RJ),263
Botafogo RJ,263
Bragantino,280
RB Bragantino,280
Ceará,354
Corinthians,264
Coritiba,294
Criciuma,288
Criciúma,288
Cruzeiro,283
Cuiaba,1371
Cuiabá,1371
Flamengo,262
Flamengo RJ,262
Fluminense,266
Fortaleza,356
Goias,290
Goiás,290
Grêmio,284
Gremio,284
Internacional,285
Juventude,286
Mirassol,2305
Palmeiras,275
Santos,277
Santos FC,277
São Paulo,276
Sao Paulo,276
Sport Club do Recife,292
Sport Recife,292
Vasco da Gama,267
Vitória,287
Vitoria,287
